Code,Tile,Author,URL,Year
FIC_1,Pride and Prejudice,"Austen, Jane",https://www.gutenberg.org/ebooks/1342,1998
FIC_2,The Yellow Wallpaper,"Gilman, Charlotte Perkins",https://www.gutenberg.org/ebooks/1952,1999
FAN_1,Alice's Adventures in Wonderland,"Carroll, Lewis",https://www.gutenberg.org/ebooks/11,1994
FIC_3,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",https://www.gutenberg.org/ebooks/84,2008
FIC_4,Metamorphosis,"Kafka, Franz",https://www.gutenberg.org/ebooks/5200,2005
FIC_5,Adventures of Huckleberry Finn,"Twain, Mark",https://www.gutenberg.org/ebooks/76,2006
DRA_1,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",https://www.gutenberg.org/ebooks/844,2006
FIC_6,The Adventures of Tom Sawyer,"Twain, Mark",https://www.gutenberg.org/ebooks/74,2006
BIO_1,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",https://www.gutenberg.org/ebooks/23,2006
DRA_2,A Doll's House : a play,"Ibsen, Henrik",https://www.gutenberg.org/ebooks/2542,2001
FIC_7,"Moby Dick; Or, The Whale","Melville, Herman",https://www.gutenberg.org/ebooks/2701,2001
FIC_8,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/1661,1892
FIC_9,Great Expectations,"Dickens, Charles",https://www.gutenberg.org/ebooks/1400,1998
FIC_10,Ulysses,"Joyce, James",https://www.gutenberg.org/ebooks/4300,2003
FIC_11,A Tale of Two Cities,"Dickens, Charles",https://www.gutenberg.org/ebooks/98,1994
HUM_1,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",https://www.gutenberg.org/ebooks/1080,1997
FIC_12,Dracula,"Stoker, Bram",https://www.gutenberg.org/ebooks/345,2013
SCI_1,The Prince,"Machiavelli, Niccolo",https://www.gutenberg.org/ebooks/1232,2006
FIC_13,The Picture of Dorian Gray,"Wilde, Oscar",https://www.gutenberg.org/ebooks/174,2008
FIC_14,War and Peace,"Tolstoy, Leo, graf",https://www.gutenberg.org/ebooks/2600,1870
FIC_15,Emma,"Austen, Jane",https://www.gutenberg.org/ebooks/158,1994
POE_1,Beowulf: An Anglo-Saxon Epic Poem,Unknown,https://www.gutenberg.org/ebooks/16328,2005
FIC_16,Les Misérables,"Hugo, Victor",https://www.gutenberg.org/ebooks/135,2008
FIC_17,Jane Eyre: An Autobiography,"Bronte, Charlotte",https://www.gutenberg.org/ebooks/1260,2007
FIC_18,Dubliners,"Joyce, James",https://www.gutenberg.org/ebooks/2814,2001
FIC_19,Sense and Sensibility,"Austen, Jane",https://www.gutenberg.org/ebooks/161,2008
SCI_2,Leviathan,"Hobbes, Thomas",https://www.gutenberg.org/ebooks/3207,2002
FIC_20,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",https://www.gutenberg.org/ebooks/42,1992
FIC_21,Treasure Island,"Stevenson, Robert Louis",https://www.gutenberg.org/ebooks/120,2006
FIC_22,Wuthering Heights,"Bronte, Emily",https://www.gutenberg.org/ebooks/768,2007
